input_text,outcome
"IPC Sections 302, 149, and 148.  Ten accused appealed their convictions for murder (Section 302) and rioting (Sections 149 and 148). The prosecution's case rested on eyewitness testimony describing an altercation leading to a mob attack resulting in a death. The defense argued that the evidence was unreliable due to witness bias and inconsistencies, and that Section 149's requirements weren't met.","Judgment against petitioner.  The Supreme Court dismissed the appeal, upholding the convictions.  Supporting case laws may include:
1. Dalip Singh and Ors. v. The State of Punjab (AIR 1953 SC 364) – addresses witness credibility and relationships.
2. Masalti and Ors. v. State of U.P. (AIR 1965 SC 202) – concerns the handling of evidence from partisan witnesses.
3. State of U.P. v. Dan Singh and Ors. (1997 (3) SCC 747) – clarifies the application of Section 149 IPC regarding unlawful assembly."
"IPC Sections 302 and 120B.  The case involved the murder of Swaran Singh, with multiple accused convicted and acquitted at trial, and the High Court overturning some acquittals.  The Supreme Court affirmed the High Court's judgments, upholding convictions based on circumstantial evidence and rejecting appeals challenging the convictions and acquittals.","Judgment against the petitioners (appeals dismissed).  Supporting case law is not explicitly cited in the provided text, but similar cases upholding convictions based on circumstantial evidence would be relevant,  requiring further research to provide specific examples.  'Not available' for 3 specific case law references."
"IPC Sections 465, 468, 471, 420, and 120-B.  The Karnataka High Court quashed proceedings against accused charged with forgery and cheating related to fake bank guarantees submitted to obtain excise contracts. The Supreme Court reversed this, finding the High Court improperly considered evidence at the cognizance stage and noting the potential for abuse of process if proceedings were halted without sufficient justification.","Judgment against petitioner (Karnataka High Court's decision quashed).  Supporting case laws are not explicitly cited, but the judgment extensively discusses principles from *R.P. Kapur vs. State of Punjab*, *State of Haryana vs. Ch. Bhajan Lal*, and *The Janata Dal vs. H.S. Chowdhary*  to support the Supreme Court's reversal of the High Court's decision to quash the proceedings."
"IPC Sections 120B, 302, 307, 326, 436, and Sections 3 & 5 of the Explosive Substances Act, 1908, and Section 3(2)(1) & 3(3) of the Terrorist and Disruptive Activities (Prevention) Act, 1987 were involved.  The case involved a bomb blast causing numerous deaths and injuries.  The accused were convicted of conspiracy and related offenses under various sections but acquitted on murder and arson charges.","{'bail_granted': 'Not applicable', 'judgment': 'Judgment against petitioner (conviction on some charges, acquittal on others).', 'case_law': ['State of West Bengal and Anr. v. Mohd. Khalid and Ors, etc. [1995] 1 SCC 684', 'Habeeb Mohammad v. State of Hyderabad, AIR (1954) SC 51', 'Not available']}"
"Sections 3(2)(i) of the Terrorist and Disruptive Activities (Prevention) Act, 1987 (TADA), and 120B, 302, 307, 326, 324, 323, 436, and 427 of the Indian Penal Code (IPC).  The case involved a bomb blast, resulting in multiple deaths and injuries. The accused's conviction rested heavily on a confessional statement, the voluntariness and truthfulness of which were debated. The court considered the admissibility of the confession under TADA and the need for corroboration.","Judgment against petitioner.  Bail was not granted; the death sentence was confirmed.  Case law references supporting this outcome are not explicitly listed in the provided text, but based on the judgment, relevant case laws regarding the admissibility of confessional statements under TADA, corroboration requirements, and the standards for death sentences would support the outcome.  Specific case law references would require further research."
"IPC Sections 302, 458, and 324. Lehna was convicted of murdering his mother, brother, and sister-in-law.  The Supreme Court set aside the conviction under Section 458 but upheld the conviction under Sections 302 and 324. The death sentence was modified to life imprisonment due to mitigating circumstances, including the accused's mental state and lack of premeditation.","Judgment modified. Bail was not an issue. Death sentence was modified to life imprisonment. 
Case law references supporting the modification of the death sentence to life imprisonment:
1. Bachan Singh v. State of Punjab (AIR 1980 SC 898)
2. Machhi Singh & Ors. v. State of Punjab (1983 (3) SCC 470)
3. Ediga Anamma v. State of Andhra Pradesh (AIR 1974 SC 799)"
"IPC Sections 302, 304 Part I, 34, 392, 120-B, 212, 411.  Three accused were initially convicted under Section 304 Part I and 392 IPC. The High Court altered the conviction to Section 302 IPC. The Supreme Court upheld the High Court's decision, finding that the accused intended to rob the victim and used lethal force, resulting in death, despite claims of accidental injury. ","Judgment against petitioner (the High Court's judgment was upheld).  Case law supporting the outcome is not explicitly cited in the provided text, but the judgment relies heavily on established precedent regarding the interpretation of Sections 299 and 300 of the IPC in cases involving culpable homicide.  To provide three supporting case laws, further research into Indian legal databases would be necessary, referencing similar cases where the court differentiated between Section 302 and 304 Part I based on intention and the nature of injuries inflicted.  Therefore, the case law references are: Not available."
"IPC Sections 302/34, 392/34.  An octogenarian woman was robbed and murdered.  The accused were found guilty at trial based on evidence including the recovery of a stolen tape recorder and a murder weapon, linked to the accused through witness testimonies and forensic evidence. The High Court acquitted the accused, but the Supreme Court overturned this, citing sufficient evidence to support the trial court's conviction.","Judgment in favor of petitioner (State of Karnataka). The Supreme Court reversed the High Court's acquittal and restored the trial court's conviction. 

Case law references supporting this outcome are not explicitly cited in the provided text, and further research is needed to find supporting precedents.  Therefore, 'Not available' is returned in place of the case law references."
"Review petitions under Article 137 of the Indian Constitution challenged death sentences where one judge favored acquittal or life imprisonment.  The court held that a difference of opinion among judges on sentencing, even including acquittal, doesn't automatically preclude a death sentence if the majority finds the crime falls under the 'rarest of rare' category. The petitioners argued that practice dictates against death sentences when there's an acquittal at lower courts, but the court clarified that practice doesn't supersede the law's application.","Bail was not granted; judgment against petitioner.  Supporting case laws (though not explicitly cited in this case text but relevant based on the judge's reasoning):

1. *Bachan Singh v. State of Punjab* (1982 (3) SCC 24) - Establishes the 'rarest of rare' doctrine for death penalty.
2. *P.N. Eswara Iyer v. Registrar, Supreme Court of India* (1980 (4) SCC 680) - Defines the scope of review petitions.
3. *Suthendraraja @ Suthenthira Raja @ Santhan v. State* (1999 (9) SCC 323) - Addresses the issue of differing judicial opinions on death sentences."
"IPC Sections 302 and 304 Part II.  Two boys were killed allegedly due to political rivalry. The trial court convicted the accused under Section 304 Part II, while the High Court upgraded it to Section 302. The Supreme Court reversed the High Court's decision, finding the lower court's conviction under Section 304 Part II to be appropriate, considering the lack of direct evidence of intent to kill.","Judgment in favor of petitioner (partially). The Supreme Court overturned the High Court's decision to convict under Section 302 and reinstated the trial court's conviction under Section 304 Part II, reducing the sentence.  Case law supporting the emphasis on proportionality in sentencing and the importance of proving intent in murder cases is needed to complete this section.  Specific case law references directly supporting this outcome are Not available from the provided text, although the judgment mentions several cases discussing the nuances of Sections 299 and 300 of the IPC.  Further research is needed to find 3 directly supporting cases."
